operation_id,candidate_id,scope_space_id,nearest_station,walk_minutes,station_access,airport_access,parking_spaces_on_site,large_vehicle_access,loading_access,booking_open_months,booking_close_days,consecutive_use,setup_teardown_policy,food_policy,merch_policy,network_policy,lodging_note,access_source_url,booking_source_url,operations_source_url,observed_at,verification_status,note
OP-011,CAND-030,pacifico-north-g1-g8,みなとみらい線みなとみらい駅,5,"みなとみらい駅から主要施設まで徒歩約5分。JR・市営地下鉄桜木町駅から徒歩約12分","羽田空港から約30分と施設公式が案内",,yes,"ノース1Fにサービスヤード、各区画に付帯控室。車両寸法、待機台数、搬入時間は催事別に要確認",,,conditional,"貸出時間は開錠から施錠までで準備・撤去を含む。レイアウト変更、時間外、追加設備は料金表に別条件あり",conditional,conditional,"館内来場者向けFree Wi-Fiあり。主催者用回線、配信帯域、占有回線は要見積","約600室の隣接ホテル、周辺徒歩圏約6000室を施設公式が案内",https://www.pacifico.co.jp/english/access,https://plan.pacifico.co.jp/planning-resources,https://lp.pacifico.co.jp/hubfs/north/guide/North.pdf,2026-07-30,verified,"予約開始時期は公開資料から確定できず要問い合わせ。空き状況、使用可否、正式見積も未確認"
OP-012,CAND-008,actcity-exhibition-full,JR浜松駅,0,"JR浜松駅から動く歩道で直結。JR、私鉄、バス、タクシーの交通結節点","東海道新幹線浜松駅直結。空港からの公式所要時間は未観測",,yes,"展示イベントホール各ブロックに幅4.7m×高さ4.0mの搬入口1か所、搬入車両乗入可。中ホール搬入口は大ホールと共有で作業可能2台",18,,yes,"開館9:00〜22:00。準備・片付けも利用時間に含む。通常18か月前、3日以上連続は24か月前、全国・国際規模または対象2施設以上は36か月前",conditional,conditional,"展示区画・控室にLAN。中ホールはLAN・Wi-Fi・舞台モニタ。占有回線・配信帯域・料金は要確認","ホテルを含む複合施設。宿泊室数と価格帯は未観測",https://www.actcity.jp/user/exhibition/,https://www.actcity.jp/user/concert/application/,https://www.actcity.jp/user/exhibition/spec/,2026-07-30,verified,"物品販売は催事関連品に限り事前届出と施設了解が必要。中ホールは避難誘導・案内要員14名以上を主催者側で配置。付帯費は催事後請求"
OP-013,CAND-041,acrie-exhibition-full,JR姫路駅,10,"新幹線のぞみ停車駅を含むJR姫路駅から徒歩約10分。路線バスは約4〜10分","関西国際空港から直通リムジンバスで姫路駅まで約120分、大阪（伊丹）空港から約80分、神戸空港から約60分",381,yes,"展示場A〜Cは開口幅約6m×高さ約5m、10t車進入可。大型車両の台数・留置は事前打合せ。大・中ホールは10t車最大2台",13,3,yes,"開館9:00〜22:00。準備・後片付けを含む。原則1か月前までに運営、レイアウト、回線、搬入、飲食を打合せ。連続使用は原則7日まで",conditional,conditional,"通信回線使用は事前打合せ項目。無料Wi-Fi、占有回線、配信帯域、料金は区画別に要確認","姫路駅周辺宿泊の具体的な室数・価格帯は未観測",https://www.himeji-ccc.jp/access.html,https://www.himeji-ccc.jp/img/pdf/usage_guide.pdf,https://www.himeji-ccc.jp/organizer/policy.html,2026-07-30,verified,"使用月13か月前の月初から3日前まで。受付初日は重複時抽選、その翌日以降は先着。施設料と事前確定付帯費は全額前納。入場整理、警備、清掃、ごみ処理は別途主催者負担になり得る"
OP-014,CAND-001,hakodate-main-arena,市電函館アリーナ前,3,"JR函館駅から市電約40分、函館アリーナ前下車徒歩3分。タクシー約20分","函館空港からバス約20分で函館アリーナ前下車徒歩3分。タクシー約10分",284,conditional,"大型バス・マイクロバスの通常乗入れは不可。大規模大会時は事前相談。搬入口寸法・大型機材搬入動線は未観測",6,30,yes,"開館9:00〜22:00。午前・午後・夜間の3区分で、準備・撤去・清掃も利用時間内。連続使用は原則5日以内",conditional,conditional,"主催者用回線、配信帯域、占有回線、料金はいずれも未観測","湯の川温泉の宿泊情報を公式アクセスページから案内。室数・価格帯は未観測",https://zaidan-hakodate.com/arena/access.html,https://zaidan-hakodate.com/arena/senyou_riyou.html,https://www.zaidan-hakodate.com/arena/senyou.html,2026-07-30,verified,"メイン・サブは6か月前から1か月前まで。基本料は原則前納、早入り・延長・設備は当日精算。サブは原則平日午前・午後、メイン全面使用時は原則不可。駐車場は市民会館と共用284台"
OP-015,CAND-024,yamagata-bigwing-full,JR山形駅,,"山形駅から県立中央病院行バス約20分、またはタクシー約15分。羽前千歳駅までは鉄道約6分だが、駅から会場までの徒歩所要時間は未観測","山形空港からシャトルバス約35分で山形駅。仙台空港から山形北IC経由の車移動目安約70分",1000,yes,"大型車無料駐車20台。展示場搬入口の詳細寸法・車両乗入れ条件は個別図面と事前打合せが必要",12,,conditional,"24時間利用可能。準備・撤去のみは施設基本料70%。終了後に原状回復。展示場は開催2週間前までに消防等届出が必要",yes,conditional,"公共フロア無料Wi-Fiあり。展示場内の催事用LAN、占有回線、配信帯域、料金は未観測","山形市内宿泊の室数・価格帯は未観測",https://www.convention.or.jp/bigwing/access/,https://www.convention.or.jp/bigwing/riyou/,https://www.convention.or.jp/bigwing/dl/data/tenji_syouboutodoke.pdf,2026-07-30,verified,"通常は使用開始日の1年前8:30から受付。全国・東北大会、大規模利用は別途相談。施設料は予約金20%を請求後30日以内、残金を14日前まで。普通車1000台に加え臨時約230台、大型20台"
OP-016,CAND-031,techno-west-full,富山産業展示館口バス停,5,"富山駅から地鉄バス約25分、富山産業展示館口下車徒歩5分。タクシー約15分","富山きときと空港から徒歩約10分、車約3分",700,yes,"西館は床荷重5t/㎡、トラック搬入可。搬入口5か所は高さ5m・幅5m、うち1か所幅6.6m。臨時駐車場約250〜300台を別途案内",,,conditional,"原則9:00〜18:00。搬入搬出のみは基本料70%。西館床面は床暖房のため養生・積載方法を事前確認し、利用後原状復帰",conditional,conditional,"西館大展示場に5Gアンテナ。催事用固定回線、占有帯域、料金は未観測","施設周辺に宿泊施設はなく、公式FAQは富山駅前または総曲輪周辺を推奨",https://www.technohall.or.jp/access.html,https://www.technohall.or.jp/org/signup.html,https://www.technohall.or.jp/pdf/sinsei/tebiki.pdf,2026-07-30,verified,"大展示場と併用する会議室は1年6か月前から受付する公式案内があるが、大展示場本体の受付開始を独立して確認できずbooking_open_monthsは空欄。受付は平日9:00〜17:00。空港近接は強いが公共交通の本数は時刻表確認が必要"
OP-017,CAND-033,aimesse-full,JR甲府駅,,"甲府駅から車・タクシー約25分。身延線国母駅からタクシー約10〜15分。甲府駅から路線バス＋タクシー約30分","最寄空港からの公式所要時間は未観測",1114,conditional,"第1〜第3駐車場合計1114台。展示場搬入口寸法、大型バス・トラックの進入経路、留置台数は未観測",24,,conditional,"通常利用は7:00〜22:00。準備・撤去は0:00〜24:00利用可能。1週間前に最終打合せと関係機関届出",conditional,conditional,"催事用Wi-Fi、占有回線、配信帯域、料金はいずれも未観測","指定管理者が宿泊施設・シャトルバス・周辺駐車場確保を含むワンストップ手配を案内。具体的な室数・費用は要見積",https://www.yiso.or.jp/messe/access/,https://www.yiso.or.jp/messe/flow/,https://www.yiso.or.jp/messe/,2026-07-30,verified,"全面・2/3は2年前、1/3は1年前、会議室・屋外は6か月前から。料金は指定期日まで前納、電気水道設備は終了後精算。設営・警備・飲食・交通・宿泊手配は有償条件を要確認"
OP-018,CAND-020,okinawa-exhibition,コンベンションセンター前バス停,0,"那覇バスターミナルからバス約40〜60分。真志喜バス停利用は徒歩約15分","那覇空港からタクシー・車約40分。路線バス約50〜70分。空港リムジンはラグナガーデンホテルまで約55分、ホテルから徒歩約10分",450,yes,"展示棟は東西各2か所、幅3.6m×高さ3.7mの搬入口。10t車両、積載総重量24t車両の走行可。駐車450台は催事規模に応じ割当、誘導員は主催者配置",24,30,yes,"開館9:00〜22:00。準備撤去を利用時間に含む。連続利用は原則10日以内、中日は全日料金。0:00〜7:00は詳細打合せが必要",conditional,conditional,"電話・光回線設備使用届、LAN変更利用申込書がある。回線種別、占有帯域、配信性能、料金は要見積","ラグナガーデンホテル徒歩約10分。施設の宿泊周辺ガイドあり。室数・価格帯は未観測",https://www.oki-conven.jp/access/,https://www.oki-conven.jp/faq2/faq-org12/,https://www.oki-conven.jp/top2/institution2/tenjitooutline/,2026-07-30,verified,"県外対象で展示場利用は2年前、県内対象で展示場利用は1年前。国際会議等・全館利用は3年前または随時受付条件あり。仮予約は電話確認後に書面提出、30%前納、1か月前までに基本打合せ。駐車不足時は宜野湾港マリーナ有料駐車場を案内"
OP-019,CAND-012,kunibiki-large,JR松江駅,7,"松江駅から徒歩約7分","出雲縁結び空港・米子鬼太郎空港から松江駅方面の連絡バス案内あり。所要時間と運行本数は利用時点の時刻表確認が必要",441,yes,"車長8m以上12m以下・幅2.5m以下・高さ3.8m以下の大型車は第1駐車場入口専用ゲートを利用。大展示場搬入時は会館へ申出てバリカーを開閉し、搬入口付近へ駐車しない",12,,conditional,"利用時間は7:00〜22:00。22:00〜翌7:00は準備・撤去のみ。準備・撤去時間も利用時間に含む",unknown,conditional,"催事用固定回線・占有帯域・配信性能・料金は未観測","松江駅周辺の宿泊室数・価格帯は未観測",https://www.kunibikimesse.jp/access/,https://www.kunibikimesse.jp/organizer/organizer-guide/,https://www.kunibikimesse.jp/organizer/organizer-guide/fixtures/,2026-07-30,verified,"利用開始日の1年前同日から先着受付。仮予約後2週間以内に申込書提出。駐車場441台は有料だが3時間まで無料。大型催事は公共交通利用を推奨"
OP-020,CAND-002,yumemesse-exhibition-full,JR中野栄駅,20,"JR仙台駅から仙石線で中野栄駅まで約18分、駅から徒歩約20分。仙台駅前または中野栄駅から路線バス案内あり","仙台空港から仙台空港アクセス線で仙台駅まで約25分。車は仙台東部道路で仙台港ICまで約30分、ICから一般道。空港から近隣アウトレットへのバスは運行状況を都度確認",1193,yes,"本館展示場A・B・Cに幅5m×高さ5mの車両進入可能な搬入口を各1か所。4t超・特殊車両は事前相談。搬入経路の養生、複数催事時の時間調整が必要",24,30,yes,"全区画は24か月前、一部区画は18か月前から受付。開催・搬入出を別料金化。2日以上連続利用時は展示物等保管のための時間外料金を免除。使用後は原状回復と自動洗浄機清掃が必須",conditional,conditional,"公衆Wi-Fiと常設ビジネス回線はなし。臨時電話・インターネット回線は主催者がNTT東日本へ申込み。展示棟は光通信ケーブル敷設可","仙台駅・仙台港周辺の宿泊室数・価格帯は未観測",https://www.yumemesse.or.jp/access/,https://www.yumemesse.or.jp/application/,https://www.yumemesse.or.jp/wp-content/themes/Vanilla/img/pdf/downloads/1_price_list/pdf_riyotebiki_1.pdf,2026-07-30,verified,"駐車1193台は来場者用の第1〜第3・プラザ前・西館の合計。別に本館バックヤード45台と西館関係者22台。会場費30%を請求後15日以内、残70%を30日前まで、付帯費等は終了後精算。大規模催事は公共交通を推奨"
OP-021,CAND-050,sapporo-main-full,地下鉄東札幌駅,10,"地下鉄東西線東札幌駅から徒歩約10分","新千歳空港からJR札幌駅またはJR新札幌駅経由で約60分",470,conditional,"夏季470台、冬季320台。観光バス・大型トラック用駐車場はなく、事前に窓口または警備室へ相談。第1平面駐車場側にバスベイ・搬入口入口あり",18,,conditional,"全日9:00〜22:00。準備・設営・撤去も利用時間に含む。早朝7:00〜9:00・22:00以降は1時間単位で催事内容により相談",conditional,conditional,"催事用専用回線・上り帯域・料金は未観測","札幌駅周辺から地下鉄移動。周辺宿泊室数・価格帯と冬季徒歩条件は未観測",https://www.sora-scc.jp/access/,https://www.sora-scc.jp/organizer/use/,https://www.sora-scc.jp/organizer/fee/,2026-07-30,verified,"展示・イベント系の大ホール全面は18か月前、分割は12か月前、全館貸切は24か月前。駐車台数は夏季合計、冬季は減少。国際会議全館等は24か月より前の使用計画書相談あり"
OP-022,CAND-051,marine-a-main,地下鉄呉服町駅,15,"呉服町駅から徒歩15分、中洲川端駅から徒歩18分。博多駅・天神からマリンメッセ前行き西鉄バスあり","福岡空港から地下鉄で博多駅、博多駅からバス利用を公式案内",1199,yes,"車両乗入はN1・N2搬入口。N1は幅6m×高さ4.5mで最大6m開口、N2は幅6m×高さ4m。その他搬入口は床養生が必要。昇降舞台・昇降席部分へ車両乗入不可",24,,conditional,"基本料金は8:00〜21:00。開催日と準備撤去日を別料金化し、21:00〜翌8:00は1時間単位。利用計画書は1か月前、設備工事図面は2週間前まで",conditional,conditional,"臨時電話・インターネット回線は指定窓口へ相談。2026年にローカル5G実証導入のお知らせがあるが、一般催事の利用条件・料金・帯域は未確認","博多・天神からバス圏。周辺宿泊室数・価格帯は未観測",https://www.marinemesse.or.jp/messe/,https://www.marinemesse.or.jp/download/document/document_dl.php?document_no=1&id=38,https://www.marinemesse.or.jp/download/document/document_dl.php?document_no=1&id=38,2026-07-30,verified,"展示会・その他催事、集会・会議、アマチュアスポーツは利用開始24か月前から受付。駐車1199台は現行来場者ページの第1約700・第2 328・第3 171の合計。利用手引きの約950台＋関係者約80台とは更新時点・範囲が異なるため開催時割当を要確認"
OP-023,CAND-052,kita-hall,Osaka Metro扇町駅,3,"堺筋線扇町駅2号-B出口から北へ徒歩3分。JR大阪環状線天満駅から西へ徒歩3分","大阪駅・新大阪駅からの公式所要時間は未観測",,conditional,"北区役所地下の有料駐車場は台数に限りがある。大型搬入車の寸法・駐車・舞台搬入口は未観測",6,,conditional,"利用時間内に準備・撤去を含むか、舞台転換・前日設営の扱いは要確認",conditional,conditional,"催事用回線・配信帯域・料金は未観測","梅田周辺の宿泊選択肢は多いが、室数・価格帯は未観測",https://www.osakacommunity.jp/kita-center/facility/,https://www.osakacommunity.jp/kita-center/guide/flow/,https://www.osakacommunity.jp/kita-center/guide/fee/,2026-07-30,verified,"貸室は利用日の6か月前から受付。完全前納。利用区分は平日・休日と入場料等徴収有無で分かれる"
OP-024,CAND-053,ecole-hall,JR・横浜市営地下鉄桜木町駅,10,"桜木町駅から徒歩約10分。京急日ノ出町駅から徒歩約10分。戸部一丁目バス停から徒歩2分","羽田空港・新横浜駅からの公式所要時間は未観測",2,no,"ホール利用者は事務室前2台まで無料。車両は全長5m・幅1.9m・高さ3mまで。大型搬入車、舞台搬入口寸法は要確認",12,,conditional,"利用時間は入室から退室までで準備・後片付けを含む。利用1か月前までに進行・備品打合せ",no,conditional,"固定回線・Wi-Fi・配信帯域・料金は未観測","横浜・桜木町周辺の宿泊室数・価格帯は未観測",https://www.hall-ecole.org/files/libs/641/202401111622502130.pdf,https://www.hall-ecole.org/files/libs/641/202401111622502130.pdf,https://www.hall-ecole.org/files/libs/641/202401111622502130.pdf,2026-07-30,verified,"利用日の1年前の月初から受付。ホールは承認後1週間以内に30%、残金と備品料を2週間前まで。客席飲食不可、物販は事前許可が必要"
OP-025,CAND-054,iwakura-multipurpose,名鉄犬山線岩倉駅,15,"岩倉駅から徒歩15分、または名鉄バス一宮線西市停留所から徒歩4分","中部国際空港・名古屋駅からの公式所要時間は未観測",253,conditional,"大型車の進入、搬入口寸法、舞台搬入経路は未観測",3,20,conditional,"開館9:00〜21:30。2時間単位。市外、入場料、営利で倍率が変わる。準備撤去・連続利用条件は要確認",conditional,conditional,"催事用回線・Wi-Fi・配信帯域・料金は未観測","名古屋市内・小牧周辺を含む宿泊動線と室数は未観測",https://www.nem-shiteikanri.jp/shisetsu/iwakura/access/index.html,https://www.city.iwakura.aichi.jp/0000000028.html,https://www.city.iwakura.aichi.jp/0000000028.html,2026-07-30,verified,"利用月の3か月前から申請、オンラインは20日前まで。駐車台数は同じ市公式ページ内に262台と253台の記載差があり、検索用には所在地欄の253台を採用したため開催時確認"
OP-026,CAND-055,sunamachi-training-1,北砂二丁目バス停,8,"西大島、亀戸、錦糸町、東陽町方面から都営バスで北砂二丁目下車徒歩8分。清澄白河方面から北砂四丁目下車徒歩8分","羽田空港・新幹線駅からの公式所要時間は未観測",16,no,"駐車16台。大型車・舞台搬入口・荷捌き条件は未観測",6,7,conditional,"開館9:00〜22:00。抽選は7か月前20日から6か月前1日、先着は6か月前3日から。区分間の利用可否は要確認",conditional,no,"催事用回線・Wi-Fi・配信帯域・料金は未観測","江東区内・錦糸町周辺の宿泊室数・価格帯は未観測",https://www.kcf.or.jp/sunamachi/access/,https://www.kcf.or.jp/sunamachi/shisetsu/apply/,https://www.kcf.or.jp/sunamachi/shisetsu/ichiran/detail/?id=123,2026-07-30,verified,"第1・2研修室はレクホール等区分。区内・区外とも利用できるが営利目的は不可。インターネット先着申込は利用7日前まで"
OP-027,CAND-056,nyc-large-hall,小田急線参宮橋駅,7,"参宮橋駅から徒歩約7分。東京メトロ代々木公園駅から徒歩約10分の公式案内図あり","羽田・成田空港からの公式所要時間は未観測",125,yes,"一般車は地下駐車場125台。大型バスは北門専用出入口。大・小ホール利用車両は各2台まで構内入構対象で事前許可が必要",10,,yes,"一般団体の通常ホール利用は10か月前から。カルチャー棟は月15日まで。大・小ホールは内容により1か月前までの申込となる",conditional,conditional,"催事用回線・配信帯域・料金は未観測","敷地内宿泊棟あり。2026年7月7日料金は一般1泊5660〜8000円税込だが、団体要件・確保数・食事は別確認",https://nyc.niye.go.jp/access,https://nyc.niye.go.jp/reserve/flow,https://nyc.niye.go.jp/wp-content/uploads/2026/07/nyc_price20260707.pdf,2026-07-30,verified,"一般の大・小ホールは10か月前、青少年は1年前。駐車場は6:30〜23:00、地下駐車場400円/30分・12時間最大2800円"
OP-028,CAND-016,sunlake-multipurpose,JR長者原駅,7,"JR香椎線の長者原駅から徒歩7分。香椎駅から長者原駅は公式案内で約15分","福岡空港・博多駅からの公式所要時間は未観測",,unknown,"大型車の進入、搬入口、荷捌き、駐車台数は公式案内上で未観測",6,10,unknown,"利用時間は準備と後片付けを含む。多目的ホール等は利用月の6か月前の月初からオンライン申込可能",unknown,conditional,"Kasuya Free Wi-Fi対象施設だが、一部で電波が届かない場合がある。催事配信帯域・専用性・料金は未観測","福岡市内・空港周辺を含む宿泊室数と価格帯は未観測",https://www.town.kasuya.fukuoka.jp/s037/map/230/20191115151740.html,https://www.town.kasuya.fukuoka.jp/s037/030/010/170/sannreiku1.pdf,https://www.town.kasuya.fukuoka.jp/s037/040/010/010/020/20191130232335.html,2026-07-30,verified,"オンライン申込は利用日の10日前まで、それ以降は窓口。さくらホール等はインターネット予約不可。ホール利用時は駐車場・ホール・ロビー整理人員の配置が必要"
OP-029,CAND-057,gibun-multipurpose,JR関内駅,5,"JR根岸線関内駅南口から徒歩5分。横浜市営地下鉄伊勢佐木長者町駅出口2から徒歩3分","羽田空港・新横浜駅からの公式所要時間は未観測",60,no,"立体駐車場は車長4.75m・幅1.95m・高さ1.57m・総重量1.6t以下。大型車・舞台搬入口は未観測",6,28,yes,"利用時間は準備・片付けを含む。午前・午後・夜間を連続予約可能。ホールは最長3日連続利用可",conditional,conditional,"全館Wi-Fi対応。ただし配信帯域・専用回線・料金は未観測","横浜・関内周辺の宿泊室数・価格帯は未観測",https://gibun.jp/gibun/access/,https://gibun.jp/facility/reservation.html,https://gibun.jp/facility/,2026-07-30,verified,"多目的ホールは利用月6か月前の1〜15日抽選申込、空室随時予約は利用28日前まで。ホール利用1か月半前までにレイアウト提出。貸室内飲食は手続きが必要"
OP-030,CAND-058,bellesalle-akihabara-2fb,JR秋葉原駅,3,"JR秋葉原駅電気街改札北口から徒歩3分。つくばエクスプレス5分、日比谷線6分、銀座線末広町駅4分","羽田・成田空港からの公式所要時間は未観測",,conditional,"B1イベントホールは直接搬入可能で裏動線あり。2F HALL Bへの車両搬入経路・寸法は要確認",,,conditional,"最低利用時間は8時間または12時間。予約・空室は問い合わせ。控室単独利用不可",conditional,conditional,"2F HALL Bは専有回線NUROあり。帯域、固定IP、料金、配信支援は要見積","秋葉原・東京駅周辺の宿泊室数・価格帯は未観測",https://www.bellesalle.co.jp/shisetsu/tokyo/bs_akihabara/,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_akihabara/detail/bs_akihabara_hall_2fb/,https://www.bellesalle.co.jp/download/bs_akihabara/,2026-07-30,verified,"2F HALL Bは大型スクリーン、控室、専有回線あり。近隣駐車場は公式から外部検索へ案内されるため、施設内駐車台数として登録しない"
